,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10782,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0021016756603237717,0.041522294802612894,0.0017040613462084636,0.8108108108108109,19.52711945872001,0.0016167949498610238,5.066239298900475
13806,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0016188582788980402,0.041522294802612894,0.0013064470320931553,0.8070175438596491,19.43576451388389,0.0012392283213931003,4.966657199659187
26051,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0016188582788980402,0.041522294802612894,0.0013064470320931553,0.8070175438596491,19.43576451388389,0.0012392283213931003,4.966657199659187
34338,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.002044873615450156,0.041522294802612894,0.001647259301334848,0.8055555555555556,19.400554795561636,0.0015623514562400419,4.929313912443705
40018,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0015904572564612327,0.041522294802612894,0.0012780460096563477,0.8035714285714286,19.35277017783858,0.0012120065745826094,4.8795228628230625
54602,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0015904572564612327,0.041522294802612894,0.0012780460096563477,0.8035714285714286,19.35277017783858,0.0012120065745826094,4.8795228628230625
3933,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0021300766827605793,0.041522294802612894,0.0017040613462084636,0.8,19.266757865937073,0.001615615674234707,4.7923885259869365
36185,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0012780460096563477,0.041522294802612894,0.001022436807725078,0.7999999999999999,19.26675786593707,0.0009693694045408241,4.792388525986934
17572,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.002073274637886964,0.041522294802612894,0.001647259301334848,0.7945205479452054,19.1347937709649,0.001561172180613725,4.664591498627282
18407,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain'})",0.0013064470320931553,0.041522294802612894,0.001022436807725078,0.782608695652174,18.847915303634093,0.0009681901289145074,4.408997443907981
81543,"frozenset({'InjuryType_Property Damage Only', 'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_Alcohol'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet', 'Animal_None/Other'})",0.001760863391082079,0.04018744674808293,0.0012780460096563477,0.7258064516129032,18.060526615752877,0.001207281405896588,3.5004928412716976
60282,"frozenset({'InjuryType_Property Damage Only', 'Weather_Rain', 'Impairment_Alcohol'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet', 'Animal_None/Other'})",0.0024140869071286567,0.04018744674808293,0.0017324623686452711,0.7176470588235294,17.85749324464768,0.001635446379619794,3.3993361261005397
72544,"frozenset({'InjuryType_Property Damage Only', 'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_Alcohol'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet'})",0.001760863391082079,0.04291394490201647,0.0012780460096563477,0.7258064516129032,16.913067611707692,0.0012024804151114735,3.490549142122058
81519,"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other', 'InjuryType_Property Damage Only', 'Impairment_Alcohol'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet'})",0.001760863391082079,0.04291394490201647,0.0012780460096563477,0.7258064516129032,16.913067611707692,0.0012024804151114735,3.490549142122058
42690,"frozenset({'InjuryType_Property Damage Only', 'Weather_Rain', 'Impairment_Alcohol'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet'})",0.0024140869071286567,0.04291394490201647,0.0017324623686452711,0.7176470588235294,16.72293377973294,0.0016288643761240727,3.3896797784720247
60265,"frozenset({'InjuryType_Property Damage Only', 'Weather_Rain', 'Impairment_Alcohol', 'Animal_None/Other'})","frozenset({'DayNight_Night', 'SurfaceCondition_Wet'})",0.0024140869071286567,0.04291394490201647,0.0017324623686452711,0.7176470588235294,16.72293377973294,0.0016288643761240727,3.3896797784720247
48302,"frozenset({'Animal_Deer', 'Weather_Rain'})","frozenset({'InjuryType_Property Damage Only', 'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet', 'Impairment_None'})",0.0021016756603237717,0.06364669128088611,0.0019028685032661176,0.9054054054054054,14.225490550791756,0.001769103801340938,9.898592120744915
54611,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction'})","frozenset({'Weather_Rain', 'Impairment_None', 'Animal_None/Other'})",0.0013916500994035786,0.06481113320079523,0.0012780460096563477,0.9183673469387755,14.169901089270063,0.0011878515896950024,11.456063618290262
54605,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Impairment_None'})","frozenset({'DayNight_Day', 'Weather_Rain', 'Animal_None/Other'})",0.0018176654359556945,0.05100823629650667,0.0012780460096563477,0.703125,13.78453855790646,0.0011853301015911269,3.19660383563282
54591,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Impairment_None', 'Animal_None/Other'})","frozenset({'DayNight_Day', 'Weather_Rain'})",0.0017892644135188867,0.052257881283726215,0.0012780460096563477,0.7142857142857143,13.668478260869565,0.0011845428423494816,3.3170974155069586
40015,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction'})","frozenset({'Weather_Rain', 'Impairment_None'})",0.0013916500994035786,0.06731042317523431,0.0012780460096563477,0.9183673469387755,13.64376130198915,0.001184373452553636,11.425447316103384
54598,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Animal_None/Other'})","frozenset({'Weather_Rain', 'Impairment_None'})",0.0013916500994035786,0.06731042317523431,0.0012780460096563477,0.9183673469387755,13.64376130198915,0.001184373452553636,11.425447316103384
34342,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction'})","frozenset({'Weather_Rain', 'Impairment_None', 'Animal_None/Other'})",0.0018744674808293098,0.06481113320079523,0.001647259301334848,0.8787878787878788,13.559211749395796,0.0015257729397542604,7.715308151093439
26044,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Animal_None/Other'})","frozenset({'DayNight_Day', 'Weather_Rain'})",0.001846066458392502,0.052257881283726215,0.0013064470320931553,0.7076923076923076,13.542307692307691,0.001209975510268611,3.242275669292515
23269,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'Weather_Rain', 'Impairment_None', 'Animal_None/Other'})",0.0016188582788980402,0.06481113320079523,0.0014200511218403862,0.8771929824561403,13.534603379614678,0.001315131082293515,7.615109343936378
26045,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction'})","frozenset({'Weather_Rain', 'Animal_None/Other'})",0.0013916500994035786,0.06955410394774211,0.0013064470320931553,0.9387755102040815,13.497054191215073,0.001209652056420353,15.197282968853502
54592,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Impairment_None'})","frozenset({'Weather_Rain', 'Animal_None/Other'})",0.0013632490769667708,0.06955410394774211,0.0012780460096563477,0.9375,13.478715802368315,0.0011832264416503375,14.887134336836127
40011,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Impairment_None'})","frozenset({'DayNight_Day', 'Weather_Rain'})",0.0018176654359556945,0.052257881283726215,0.0012780460096563477,0.703125,13.454908288043478,0.0011830586650906426,3.192394505149554
20269,"frozenset({'Animal_Deer', 'Weather_Rain'})","frozenset({'InjuryType_Property Damage Only', 'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet'})",0.0021016756603237717,0.06756603237716557,0.0019028685032661176,0.9054054054054054,13.400304465878236,0.0017608666175543807,9.857159086298532
